"year","rk","rest","address","lat","lon","close","neigh","region"
2005,,"A.O.C.","8022 W. 3rd St, Los Angeles",34.0717776,-118.3645959,FALSE,"Beverly Grove","Central L.A."
2005,,"Al-Noor","15112 Inglewood Ave, Lawndale",33.894197,-118.3609188,FALSE,"Lawndale","South Bay"
2005,,"Amuse Cafe","796 Main St, Venice",33.9931529,-118.4746433,TRUE,"Venice","Westside"
2005,,"Angeli Caffe","7274 Melrose Ave, Los Angeles",34.0833499,-118.3483179,TRUE,"Fairfax","Central L.A."
2005,,"Angelini Osteria","7313 Beverly Blvd, Los Angeles",34.0764248,-118.3491393,FALSE,"Fairfax","Central L.A."
2005,,"Asanebo","11941 Ventura Blvd, Studio City",34.1436197,-118.3918741,FALSE,"Studio City","San Fernando Valley"
2005,,"Babita","1823 S. San Gabriel Blvd, San Gabriel",34.0763131,-118.0910297,FALSE,"San Gabriel","San Gabriel Valley"
2005,,"Bastide","8475 Melrose Pl, Los Angeles",34.0838779,-118.3758925,TRUE,"Beverly Grove","Central L.A."
2005,,"Beacon: An Asian Cafe","3280 Helms Ave, Culver City",34.0299815,-118.3838985,TRUE,"Culver City","Westside"
2005,,"Blair's","2903 Rowena Ave, Los Angeles",34.1085332,-118.2681283,FALSE,"Silver Lake","Central L.A."
2005,,"Border Grill","1445 4th St, Santa Monica",34.0156738,-118.4938852,TRUE,"Santa Monica","Westside"
2005,,"Brasserie Vert","6801 Hollywood Blvd, Los Angeles",34.102321,-118.3399899,TRUE,"Hollywood","Central L.A."
2005,,"Caioti Pizza Cafe","4346 Tujunga Ave, Studio City",34.149059,-118.3787612,FALSE,"Studio City","San Fernando Valley"
2005,,"Campanile","624 S. La Brea Ave, Los Angeles",34.0641419,-118.3437075,TRUE,"Hancock Park","Central L.A."
2005,,"Casa Bianca","1650 Colorado Blvd, Los Angeles",34.139204,-118.2029066,FALSE,"Eagle Rock","Northeast L.A."
2005,,"Cha Cha Cha","656 N. Virgil Ave, Los Angeles",34.0834209,-118.286624,TRUE,"East Hollywood","Central L.A."
2005,,"Chameau","339 N. Fairfax Ave, Los Angeles",34.0773495,-118.3617621,TRUE,"Beverly Grove","Central L.A."
2005,,"Chichen Itza","3655 S. Grand Ave, Los Angeles",34.0173919,-118.2784632,FALSE,"Historic South-Central","South L.A."
2005,,"Chili John's","2018 W. Burbank Blvd, Burbank",34.1799987,-118.3337112,FALSE,"Burbank","San Fernando Valley"
2005,,"Chung King","206 S. Garfield Ave, Monterey Park",34.0610947,-118.122583,TRUE,"Monterey Park","San Gabriel Valley"
2005,,"Ciudad","445 S. Figueroa St, Los Angeles",34.0536155,-118.2568651,TRUE,"Downtown","Central L.A."
2005,,"Clementine","1751 Ensley Ave, Los Angeles",34.0602618,-118.4208508,FALSE,"Westwood","Westside"
2005,,"Cobras & Matadors","7615 W. Beverly Blvd, Los Angeles",34.0763731,-118.3558998,TRUE,"Fairfax","Central L.A."
